Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
04/22/16,CARS_NOM,0,0.000,0.000,0.000,,0.001
04/22/16,CRUZ_NOM,105,19.105,0.181,0.182,0.182,0.181
04/22/16,RROF_NOM,20,3.500,0.175,0.175,0.175,0.175
04/22/16,RUBI_NOM,0,0.000,0.000,0.000,,0.012
04/22/16,TRUM_NOM,81,52.729,0.646,0.680,0.651,0.680
04/23/16,CARS_NOM,0,0.000,0.000,0.000,,0.001
04/23/16,CRUZ_NOM,40,5.999,0.149,0.150,0.150,0.150
04/23/16,RROF_NOM,18,3.150,0.175,0.175,0.175,0.175
04/23/16,RUBI_NOM,50,0.601,0.012,0.013,0.012,0.012
04/23/16,TRUM_NOM,7,4.760,0.680,0.680,0.680,0.680
04/24/16,CARS_NOM,25,0.025,0.001,0.001,0.001,0.001
04/24/16,CRUZ_NOM,122,17.286,0.135,0.150,0.142,0.140
04/24/16,RROF_NOM,47,8.317,0.171,0.190,0.177,0.171
04/24/16,RUBI_NOM,44,0.529,0.012,0.013,0.012,0.012
04/24/16,TRUM_NOM,70,47.350,0.675,0.677,0.676,0.675
04/25/16,CARS_NOM,98,0.098,0.001,0.001,0.001,0.001
04/25/16,CRUZ_NOM,276,50.709,0.177,0.200,0.184,0.200
04/25/16,RROF_NOM,157,26.112,0.154,0.188,0.166,0.154
04/25/16,RUBI_NOM,307,6.393,0.011,0.027,0.021,0.027
04/25/16,TRUM_NOM,311,205.361,0.651,0.670,0.660,0.670
04/26/16,CARS_NOM,603,0.681,0.001,0.003,0.001,0.003
04/26/16,CRUZ_NOM,840,98.935,0.090,0.147,0.118,0.125
04/26/16,RROF_NOM,510,74.992,0.115,0.153,0.147,0.115
04/26/16,RUBI_NOM,608,6.954,0.011,0.013,0.011,0.012
04/26/16,TRUM_NOM,619,449.154,0.691,0.797,0.726,0.714
04/27/16,CARS_NOM,41,0.204,0.004,0.005,0.005,0.005
04/27/16,CRUZ_NOM,270,25.792,0.063,0.100,0.096,0.098
04/27/16,RROF_NOM,136,13.827,0.096,0.119,0.102,0.097
04/27/16,RUBI_NOM,62,1.426,0.023,0.023,0.023,0.023
04/27/16,TRUM_NOM,511,394.756,0.750,0.797,0.773,0.790
04/28/16,CARS_NOM,33,0.085,0.002,0.003,0.003,0.003
04/28/16,CRUZ_NOM,127,10.085,0.065,0.095,0.079,0.095
04/28/16,RROF_NOM,133,10.626,0.070,0.096,0.080,0.075
04/28/16,RUBI_NOM,35,0.665,0.013,0.023,0.019,0.023
04/28/16,TRUM_NOM,237,185.554,0.770,0.800,0.783,0.800
04/29/16,CARS_NOM,0,0.000,0.000,0.000,,0.003
04/29/16,CRUZ_NOM,400,35.649,0.080,0.094,0.089,0.094
04/29/16,RROF_NOM,1,0.073,0.073,0.073,0.073,0.073
04/29/16,RUBI_NOM,1,0.017,0.017,0.017,0.017,0.017
04/29/16,TRUM_NOM,70,56.153,0.800,0.810,0.802,0.802
